SpeakerLabel,Gender,Word,VowelPhoneme,ClassNo,Time,Formant1,Formant2,Formant3
taq001,F,heed,IY,1,1.302953,293.866583,2607.229679,3387.659845
taq001,F,had,AE,2,4.378794,945.335727,1635.354707,2740.038874
taq001,F,heard,ER,3,8.887876,544.808257,1398.205909,1861.604614
tot001,F,heed,IY,1,1.613657,288.774409,2828.964832,3331.646916
tot001,F,had,AE,2,3.539297,868.062843,1551.358839,2939.464389
tot001,F,heard,ER,3,6.447859,617.453814,1744.678556,2030.316069
cpd001,M,heed,IY,1,2.109038,267.478191,2279.48861,3046.794792
cpd001,M,had,AE,2,5.661745,830.74216,1422.445579,2585.567101
cpd001,M,heard,ER,3,10.024276,523.112597,1415.035777,1760.310852
djd001,M,heed,IY,1,1.177048,362.592663,2443.441612,3061.24512
djd001,M,had,AE,2,3.607149,793.023857,1577.27199,3126.520001
djd001,M,heard,ER,3,7.209397,1038.476784,1607.724471,3059.149304
jas001,M,heed,IY,1,4.556897,253.62225,2409.674706,2844.636002
jas001,M,had,AE,2,6.809502,796.256696,2135.760539,2510.699204
jas001,M,heard,ER,3,10.113932,650.595576,1411.722458,3190.532554
pgd001,M,heed,IY,1,1.873699,284.091833,2348.590693,2774.545112
pgd001,M,had,AE,2,3.813585,759.865681,1490.267664,2608.79749
pgd001,M,heard,ER,3,6.942405,998.95008,1589.418787,3294.459236
rme001,M,heed,IY,1,1.193251,2184.822858,3039.875469,3473.832767
rme001,M,had,AE,2,2.478765,814.769985,1413.167181,2645.839488
rme001,M,heard,ER,3,5.281651,990.905319,1587.519404,2861.087289
gke001,F,heed,IY,1,1.070661,442.402929,2593.681537,3106.869195
gke001,F,had,AE,2,2.620604,920.372736,1631.69748,2806.92869
gke001,F,heard,ER,3,5.252671,729.748078,1760.272966,2888.542322
mjo001,F,heed,IY,1,1.617458,392.955114,2623.297738,3230.859818
mjo001,F,had,AE,2,4.656751,1114.648784,1443.642794,1722.379981
mjo001,F,heard,ER,3,8.806989,695.424542,1973.471412,3037.802681
nta001,F,heed,IY,1,2.132958,362.870542,2529.431449,2847.030112
nta001,F,had,AE,2,3.832057,913.162415,1683.998259,2805.089861
nta001,F,heard,ER,3,6.838875,665.740964,1765.273041,3034.790198
sce001,F,heed,IY,1,1.414265,287.706799,2658.028926,3316.746665
sce001,F,had,AE,2,3.469059,954.430358,1581.710579,2841.559634
sce001,F,heard,ER,3,7.126043,539.263134,1583.803811,2852.992069
wjh001,F,heed,IY,1,1.019999,368.153381,2616.25882,3281.5423
wjh001,F,had,AE,2,4.265402,903.101582,1622.445133,2801.960558
wjh001,F,heard,ER,3,9.134233,692.812485,1537.924354,2810.70102
dme001,M,heed,IY,1,1.533987,275.552878,2405.503976,3234.513156
dme001,M,had,AE,2,4.528162,810.923106,1507.057389,2597.328875
dme001,M,heard,ER,3,10.709806,539.305475,1461.763433,2560.822642
hak001,M,heed,IY,1,1.199742,209.024609,2153.266365,3034.422755
hak001,M,had,AE,2,4.967123,932.637271,1397.279388,2641.342144
hak001,M,heard,ER,3,10.174196,588.666129,1503.633571,2724.89703
kmp001,M,heed,IY,1,2.232731,220.955844,2267.247297,3064.011288
kmp001,M,had,AE,2,5.413853,926.017011,1692.448516,2558.551973
kmp001,M,heard,ER,3,9.926877,674.118523,1516.618113,2343.242296
mjc001,M,heed,IY,1,1.393879,284.904053,2490.524759,3098.401866
mjc001,M,had,AE,2,5.183405,972.530188,1606.190042,2666.531726
mjc001,M,heard,ER,3,11.024406,585.249896,1669.221268,2612.789513
rws001,M,heed,IY,1,2.88665,319.691652,2357.731836,2820.143564
rws001,M,had,AE,2,5.329194,796.434301,1538.121814,3139.960398
rws001,M,heard,ER,3,10.178228,499.570359,1534.045916,3047.250635
